State;ACTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOTO;;;;;;;;;;;;;;;;;;;;;;
;begin;end;whileLoop;forLoop;";";char;id;=;string;int;numInt;float;numFloat;bool;while;(;);{;};for;:;if;else;opArith;ExpLog;opLog;!;TRUE;FALSE;input;output;+;-;*;/;%;$;Prog;Code;Inst;VarDclr;Dchar;Dint;Dfloat;Dbool;WhileLoop;ForLoop;IfCond;IfElseCond;Cond;A;Aff;Input;Output;Message;ExpArith;T;X;Z;F
79;;;;;r42;;;;;;;;;;;;r42;;;;;;;r42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;51
81;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;51
82;;;;;r43;;;;;;;;;;;;r43;;;;;;;r43;;;;;;;;r43;r43;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
84;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101
85;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102
86;;;;;r39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;s97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;s103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;s104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;s105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;s106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;;r26;r26;r26;;r26;r26;;;r26;;r26;;r26;;;;;r26;;;r26;;;;;;;;r26;r26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;;;s7;s8;;s20;s19;;;s21;;s22;;s23;;;;;r2;;;s16;;;;;;;;s17;s18;;;;;;;;107;3;4;12;13;14;15;;;5;6;;;11;9;10;;;;;;
94;;;;;r27;;;;;;;;;;;;r27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;r29;;;;;;;;;;;;r29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;r31;;;;;;;;;;;;r31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;r51;;;;;;;;;;;;r51;;;;;;;r51;;;;;;;;r51;r51;r51;r51;r51;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;r46;;;;;;;;;;;;r46;;;;;;;r46;;;;;;;;s80;s81;;;;;;;;;;;;;;;;;;;;;;;;;108;;
99;;;;;r46;;;;;;;;;;;;r46;;;;;;;r46;;;;;;;;s80;s81;;;;;;;;;;;;;;;;;;;;;;;;;109;;
100;;;;;r50;;;;;;;;;;;;r50;;;;;;;r50;;;;;;;;r50;r50;s83;s84;s85;;;;;;;;;;;;;;;;;;;;;;;110;
101;;;;;r50;;;;;;;;;;;;r50;;;;;;;r50;;;;;;;;r50;r50;s83;s84;s85;;;;;;;;;;;;;;;;;;;;;;;111;
102;;;;;r50;;;;;;;;;;;;r50;;;;;;;r50;;;;;;;;r50;r50;s83;s84;s85;;;;;;;;;;;;;;;;;;;;;;;112;
103;;;;;;r16;;;;r16;;r16;;r16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;;;;;;r18;;;;r18;;r18;;r18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;r20;;;;r20;;r20;;r20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;r22;;;;r22;;r22;;r22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;s113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;;;;;r44;;;;;;;;;;;;r44;;;;;;;r44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;;;;;r45;;;;;;;;;;;;r45;;;;;;;r45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;;;;;r47;;;;;;;;;;;;r47;;;;;;;r47;;;;;;;;r47;r47;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;;;;;r48;;;;;;;;;;;;r48;;;;;;;r48;;;;;;;;r48;r48;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;;;;;r49;;;;;;;;;;;;r49;;;;;;;r49;;;;;;;;r49;r49;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;;r25;r25;r25;;r25;r25;;;r25;;r25;;r25;;;;;r25;;;r25;r25;;;;;;;r25;r25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
